"Ull ge
MM"		"Volume
C,Metre"	"Weight
Tonne "		"LCG
Metre"	"TCG
Metre"		"VCG
Metre"	"  M
M,-MT"

Tank Hold1BC
	4625	322,139		418,78		72,389  	0,005 		3,364	6329,76
	4650	316,277		411,16		72,387  	0,005 		3,349	6255,44
	4675	310,446		403,58		72,384  	0,005 		3,334	6182,93
	4700	304,637		396,03		72,382  	0,005 		3,320	6113,02
	4725	298,854		388,51		72,379  	0,005 		3,305	6045,30
	4750	293,103		381,03		72,3761		0,005 		3,291	5978,98
	4775	287,386		373,60		72,373  	0,005 		3,276	5914,02
	4800	281,690		366,20		72,370  	0,005 		3,261	5851,04
	4825	276,022		358,83		72,367  	0,005 		3,247	5789,62
	4850	270,386		351,50		72,364  	0,005 		3,232	5729,29
	4875	264,784		344,22		72,360  	0,005 		3,218	5671,00
	4900	259,213		336,98		72,356  	0,004 		3,203	5614,34
	4925	253,674		329,78		72,352  	0,004 		3,188	5556,39
